Legal Entity,Trading Name / Service,Service Type,CQC Regulated?,CQC Location ID / Note,Phone,Postcode,Client Status,Conflict Of Interest Note
Palmgrange Limited,Clairleigh Nursing Home,Nursing Home,Yes,1-106338834 https://www.cqc.org.uk/location/1-106338834,02084601527,BR1 3AS,Lead,
Mission Care Management,Elmwood,Nursing Home,Yes,1-21881252805 https://www.cqc.org.uk/location/1-21881252805,02082491904,BR1 2EN,Lead,
Lorven Housing Ltd,Florence Nursing Home,Nursing Home,Yes,1-2501426602 https://www.cqc.org.uk/location/1-2501426602,02084605695,BR1 4EG,Lead,
Mission Care Management,Greenhill,Nursing Home,Yes,1-21881252929 https://www.cqc.org.uk/location/1-21881252929,02082909130,BR1 3SJ,Lead,
Mission Care Management,Homefield,Nursing Home,Yes,1-21881097159 https://www.cqc.org.uk/location/1-21881097159,02082897932,BR1 2EF,Lead,
KYN Bickley Ltd,KYN Bickley,Nursing Home,Yes,1-14863445898 https://www.cqc.org.uk/location/1-14863445898,0205309700,BR1 2AZ,Lead,
Park Avenue Healthcare Limited,Park Avenue Care Home,Nursing Home,Yes,1-122198058 https://www.cqc.org.uk/location/1-122198058,02084665267,BR1 4EW,Lead,
Leonard Cheshire Disability,St Cecilia's - Care Home with Nursing Physical Disabilities,Nursing Home,Yes,1-120088056 https://www.cqc.org.uk/location/1-120088056,02084608377,BR1 2PZ,Lead,
Aria Healthcare Group LTD,Sundridge Court Nursing Home,Nursing Home,Yes,1-912281599 https://www.cqc.org.uk/location/1-912281599,02084666553,BR1 3NG,Lead,
Care UK Care Services Limited,Sundridge Court Nursing Home,Nursing Home,Yes,1-26105206171 https://www.cqc.org.uk/location/1-26105206171,02084666553,BR1 3NG,Lead,
Agincare Enable Limited,118 Widmore Road,Residential Care,Yes,1-25565901147 https://www.cqc.org.uk/location/1-25565901147,01305825500,BR1 3BE,Lead,
Cedarmore Housing Association Limited,Beechmore Court,Residential Care,Yes,1-108969188 https://www.cqc.org.uk/location/1-108969188,02084687778,BR1 2EG,Lead,
Nightingale Retirement Care Limited,Nettlestead Care Home,Residential Care,Yes,1-111375413 https://www.cqc.org.uk/location/1-111375413,02084602279,BR1 2PU,Lead,
High View Care Services Limited,No 66 - High View Care Services,Residential Care,Yes,1-6372060237 https://www.cqc.org.uk/location/1-6372060237,02030267800,BR1 3JE,Lead,
Greensleeves Homes Trust,Queen Elizabeth House,Residential Care,Yes,1-121567230 https://www.cqc.org.uk/location/1-121567230,02084673994,BR1 2EE,Lead,
Leonard Cheshire Disability,Springfield - Care Home Physical Disabilities,Residential Care,Yes,1-120087412 https://www.cqc.org.uk/location/1-120087412,02084668158,BR1 3HZ,Lead,
The Heathers Residential Care Home Limited,The Heathers Residential Care Home,Residential Care,Yes,1-121650185 https://www.cqc.org.uk/location/1-121650185,02084606555,BR1 4BL,Lead,
Billioncare Ltd,Billioncare Ltd,Domiciliary Care,Yes,1-17596327681 https://www.cqc.org.uk/location/1-17596327681,02086980222,BR1 1LU,Lead,
London Borough of Bromley,Bromley Civic Centre,Domiciliary Care,Yes,1-22765195923 https://www.cqc.org.uk/location/1-22765195923,02084617321,BR1 1AS,Lead,
Calabs Services Limited,Calabs Services Limited,Domiciliary Care,Yes,1-18224065205 https://www.cqc.org.uk/location/1-18224065205,07944985279,BR1 1LU,Lead,
James Sanderson Limited,Caremark (Bromley),Domiciliary Care,Yes,1-253641853 https://www.cqc.org.uk/location/1-253641853,01689825305,BR1 2SR,Lead,
Eleanor Nursing and Social Care Limited,Eleanor Nursing and Social care LTD- Bromley office,Domiciliary Care,Yes,1-21683851155 https://www.cqc.org.uk/location/1-21683851155,02086902406,BR1 1SD,Lead,
Elite Careplus Ltd,Elite Careplus Ltd - Bromley,Domiciliary Care,Yes,1-2598387861 https://www.cqc.org.uk/location/1-2598387861,07496641109,BR1 1QU,Lead,
Fabs Domiciliary Homecare Ltd,Fabs Domiciliary Homecare Ltd,Domiciliary Care,Yes,1-5599327848 https://www.cqc.org.uk/location/1-5599327848,02088527958,BR1 5AA,Lead,
Femman Care Services Ltd,Femman Care Services Ltd,Domiciliary Care,Yes,1-21684518333 https://www.cqc.org.uk/location/1-21684518333,02046195666,BR1 1LU,Lead,
Gosbloom Limited,Gosbloom Limited,Domiciliary Care,Yes,1-19678577808 https://www.cqc.org.uk/location/1-19678577808,02080512728,BR1 1LU,Lead,
Agincare Enable Limited,London & South East Domiciliary Care Branch (Mental Health),Domiciliary Care,Yes,1-25600049985 https://www.cqc.org.uk/location/1-25600049985,01305825500,BR1 1LT,Lead,
Meggie Care Recruitment Limited,Meggie Care Recruitment Limited,Domiciliary Care,Yes,1-17192376059 https://www.cqc.org.uk/location/1-17192376059,,BR1 3RG,Lead,
Nightingale Retirement Care Limited,Nightingale Home Care,Domiciliary Care,Yes,1-111375442 https://www.cqc.org.uk/location/1-111375442,02084669664,BR1 2PU,Lead,
Plum Care Ltd,Plum Care Ltd,Domiciliary Care,Yes,1-5300464641 https://www.cqc.org.uk/location/1-5300464641,02039152448,BR1 1QU,Lead,
Redpanda Care Limited,RedPanda Care Main Office,Domiciliary Care,Yes,1-10887924151 https://www.cqc.org.uk/location/1-10887924151,02071014971,BR1 1LU,Lead,
AA Nursing Care Limited,Regus,Domiciliary Care,Yes,1-2817026518 https://www.cqc.org.uk/location/1-2817026518,02070787383,BR1 1LU,Lead,
River Garden Care Ltd,River Garden Care,Domiciliary Care,Yes,1-1865507935 https://www.cqc.org.uk/location/1-1865507935,02084609571,BR1 1LT,Lead,
Robins Care Ltd,Robins Care Ltd,Domiciliary Care,Yes,1-13747953957 https://www.cqc.org.uk/location/1-13747953957,02080589505,BR1 1LU,Lead,
Rooted Health and Social Care Ltd,Rooted Homecare,Domiciliary Care,Yes,1-16371917836 https://www.cqc.org.uk/location/1-16371917836,,BR1 1LU,Lead,
Homesdale Supported Living Ltd,STC House,Domiciliary Care,Yes,1-29373241322 https://www.cqc.org.uk/location/1-29373241322,,BR1 1LT,Lead,
Sanctuary Home Care Limited,Sanctuary Supported Living (Bromley Care Services),Domiciliary Care,Yes,1-7020387845 https://www.cqc.org.uk/location/1-7020387845,02084668177,BR1 3HJ,Lead,
TMSG Limited,TUcare,Domiciliary Care,Yes,1-5537977391 https://www.cqc.org.uk/location/1-5537977391,02083252285,BR1 3AX,Lead,
Wellledhealthcare Ltd,WellledHealthCare  Ltd,Domiciliary Care,Yes,1-22152491026 https://www.cqc.org.uk/location/1-22152491026,07961728337,BR1 1LU,Lead,
Enriched Lives Limited,Enriched Lives Limited - Main Office,Supported Living,Yes,1-18392555751 https://www.cqc.org.uk/location/1-18392555751,,BR1 1RJ,Lead,
Chislehurst Care Limited,Ashglade,Residential Care,Yes,1-127080331 https://www.cqc.org.uk/location/1-127080331,02084670640,BR2 8AL,Lead,
Barchester Healthcare Homes Limited,Pittsmead Grange Care Home,Residential Care,Yes,1-19833213205 https://www.cqc.org.uk/location/1-19833213205,02081947850,BR2 7BX,Lead,
Scarborough Hall Limited,Pittsmead Grange Care Home,Residential Care,Yes,1-26845090181 https://www.cqc.org.uk/location/1-26845090181,02081947850,BR2 7BX,Lead,
Totem Care Limited,Tanglewood,Residential Care,Yes,1-151774304 https://www.cqc.org.uk/location/1-151774304,01689850642,BR2 6DQ,Lead,
Abacus Homecare (Bromley) Limited,Abacus Homecare (Bromley) Ltd,Domiciliary Care,Yes,1-1195626726 https://www.cqc.org.uk/location/1-1195626726,07956829738,BR2 8DU,Lead,
Aegys Smart Care Ltd,Aegys Homecare Bromley/Kent,Domiciliary Care,Yes,1-27841917065 https://www.cqc.org.uk/location/1-27841917065,02037474733,BR2 8AR,Lead,
Always Caring Bromley Ltd,Always Caring Bromley Limited,Domiciliary Care,Yes,1-266779859 https://www.cqc.org.uk/location/1-266779859,02084666133,BR2 9BE,Lead,
BenJeMax Limited,Bluebird Care Bromley,Domiciliary Care,Yes,1-2246993108 https://www.cqc.org.uk/location/1-2246993108,02083150235,BR2 9QQ,Lead,
Bright Sky Care Ltd,Bright Sky Care,Domiciliary Care,Yes,1-22792293331 https://www.cqc.org.uk/location/1-22792293331,,BR2 9LE,Lead,
Translucence Care Ltd,Bromley,Domiciliary Care,Yes,1-3915276101 https://www.cqc.org.uk/location/1-3915276101,,BR2 8EP,Lead,
Caremax Ltd,Caremax Ltd,Domiciliary Care,Yes,1-6388358420 https://www.cqc.org.uk/location/1-6388358420,03301330577,BR2 8GP,Lead,
Creative Support Limited,Creative Support - Regency Court,Domiciliary Care,Yes,1-4116308774 https://www.cqc.org.uk/location/1-4116308774,02084603142,BR2 9GL,Lead,
Homesdale Supported Living Ltd,Homesdale Supported Living,Domiciliary Care,Yes,1-11296003795 https://www.cqc.org.uk/location/1-11296003795,02082492902,BR2 9LD,Lead,
Kentish Homecare Agency Limited,Kentish Homecare,Domiciliary Care,Yes,1-118876341 https://www.cqc.org.uk/location/1-118876341,07956379769,BR2 9NN,Lead,
Mackley Home Care Limited,Mackley Homecare Limited,Domiciliary Care,Yes,1-117070190 https://www.cqc.org.uk/location/1-117070190,02038928700,BR2 8HG,Lead,
Mears Extra Care Limited,Mears Care - Bromley,Domiciliary Care,Yes,1-8026511168 https://www.cqc.org.uk/location/1-8026511168,02084621006,BR2 8FE,Lead,
Reliable Community Care Services Ltd,Reliable Community Care Services Ltd,Domiciliary Care,Yes,1-12771442086 https://www.cqc.org.uk/location/1-12771442086,07983860248,BR2 8GP,Lead,
Smithfield Health & Social Care Ltd,Smithfield Health & Social Care Limited t/a Verilife,Domiciliary Care,Yes,1-303534961 https://www.cqc.org.uk/location/1-303534961,02031419290,BR2 8BQ,Lead,
SureCare Bromley Limited,SureCare Bromley Limited,Domiciliary Care,Yes,1-4465650560 https://www.cqc.org.uk/location/1-4465650560,02034091626,BR2 8HG,Lead,
Voug Care Ltd,Voug Care,Domiciliary Care,Yes,1-14808116929 https://www.cqc.org.uk/location/1-14808116929,02084607468,BR2 7EY,Lead,
Langley Care Services Limited,Walfinch Bromley and Sevenoaks,Domiciliary Care,Yes,1-22156330137 https://www.cqc.org.uk/location/1-22156330137,02033376866,BR2 6HQ,Lead,
Solving Homes Limited,Solving Homes Limited,Supported Living,Yes,1-12331943788 https://www.cqc.org.uk/location/1-12331943788,02037709382,BR2 8GP,Lead,
Willowbrook Healthcare Limited,Beckenham Park Care Home,Nursing Home,Yes,1-15519796030 https://www.cqc.org.uk/location/1-15519796030,02031313010,BR3 3FH,Lead,
Redwood Tower UK Opco 1 Limited,Beckenham Park Care Home,Nursing Home,Yes,1-12383242864 https://www.cqc.org.uk/location/1-12383242864,,BR3 3FH,Lead,
Nellsar Limited,Bromley Park Dementia Nursing Home,Nursing Home,Yes,1-122186224 https://www.cqc.org.uk/location/1-122186224,02086505504,BR3 5PA,Lead,
Mills Family Limited,The Sloane Nursing Home,Nursing Home,Yes,1-119778767 https://www.cqc.org.uk/location/1-119778767,02086503410,BR3 5AA,Lead,
Everyturn,Woodland House,Nursing Home,Yes,1-29078209619 https://www.cqc.org.uk/location/1-29078209619,,BR3 3BX,Lead,
Sage Care Homes (Jansondean) Limited,Jansondean Care Home,Residential Care,Yes,1-191454293 https://www.cqc.org.uk/location/1-191454293,02086507810,BR3 6PJ,Lead,
Oak Lodge Care Home Ltd,Oak Lodge Care Home,Residential Care,Yes,1-17196194664 https://www.cqc.org.uk/location/1-17196194664,02033403232,BR3 6PJ,Lead,
Care At My Home Ltd,Care At My Home Ltd,Domiciliary Care,Yes,1-18112746675 https://www.cqc.org.uk/location/1-18112746675,,BR3 1RW,Lead,
Carepoint Services Limited,Carepoint Services (Beckenham),Domiciliary Care,Yes,1-6056948539 https://www.cqc.org.uk/location/1-6056948539,02086983661,BR3 1BN,Lead,
Elmes Homecare UK Ltd,Elmes Homecare,Domiciliary Care,Yes,1-4518469173 https://www.cqc.org.uk/location/1-4518469173,02086587285,BR3 1DT,Lead,
Elsah Healthcare Ltd,Elsah Healthcare,Domiciliary Care,Yes,1-8732953550 https://www.cqc.org.uk/location/1-8732953550,02086592825,BR3 4LZ,Lead,
Priory Care Services Ltd,HQ Priory Care Services,Domiciliary Care,Yes,1-4298924778 https://www.cqc.org.uk/location/1-4298924778,02087731002,BR3 1JN,Lead,
Home Healthcare Ltd,Home Healthcare/Capable Care,Domiciliary Care,Yes,1-12435382652 https://www.cqc.org.uk/location/1-12435382652,02086507264,BR3 1AE,Lead,
RSL Homecare Limited,Right at Home Bromley,Domiciliary Care,Yes,1-3917553912 https://www.cqc.org.uk/location/1-3917553912,02081506272,BR3 5NP,Lead,
South East London Mind Limited,SEL Mind – Bromley MindCare,Domiciliary Care,Yes,1-124919305 https://www.cqc.org.uk/location/1-124919305,02082497282,BR3 4HY,Lead,
Youth Graces UK Limited,Youth Graces UK Limited,Domiciliary Care,Yes,1-1988052375 https://www.cqc.org.uk/location/1-1988052375,02086509132,BR3 4PR,Lead,
Choice Support,The Hub,Supported Living,Yes,1-23836404256 https://www.cqc.org.uk/location/1-23836404256,01622722400,BR3 4LY,Lead,
The Healthcare Management Trust,Coloma Court Care Home,Nursing Home,Yes,1-112968840 https://www.cqc.org.uk/location/1-112968840,02087761129,BR4 9QJ,Lead,
Westwood Housing Association,Burrell Mead,Residential Care,Yes,1-109761925 https://www.cqc.org.uk/location/1-109761925,02087760455,BR4 0QS,Lead,
Care Outlook Ltd,Care Outlook (West Wickham),Domiciliary Care,Yes,1-745039062 https://www.cqc.org.uk/location/1-745039062,02087773840,BR4 0LZ,Lead,
Happy at Home (Bromley) Limited,"Home Instead - Bromley, Chislehurst & Orpington",Domiciliary Care,Yes,1-3108169754 https://www.cqc.org.uk/location/1-3108169754,02086582535,BR4 9HY,Lead,
Country Court Care Homes 6 Limited,Pemberley Manor Care and Nursing Home,Nursing Home,Yes,1-17708769692 https://www.cqc.org.uk/location/1-17708769692,01733571951,BR5 3AD,Lead,
Colin Limited,Stoneyway 1,Residential Care,Yes,1-25645550605 https://www.cqc.org.uk/location/1-25645550605,,BR5 4EN,Lead,
Colin Limited,Stoneyway 2,Residential Care,Yes,1-25645834928 https://www.cqc.org.uk/location/1-25645834928,,BR5 4EN,Lead,
Alina Homecare Ltd,Alina Homecare Bromley,Domiciliary Care,Yes,1-6317810733 https://www.cqc.org.uk/location/1-6317810733,01689283222,BR5 3QB,Lead,
Always Inclusive Ltd,Always Inclusive Outreach,Domiciliary Care,Yes,1-12642181724 https://www.cqc.org.uk/location/1-12642181724,01689885040,BR5 3QB,Lead,
Anjel Direct (Recruitment) Solutions Ltd,Anjel Direct (Recruitment) Solutions Ltd,Domiciliary Care,Yes,1-10728971317 https://www.cqc.org.uk/location/1-10728971317,02088521622,BR5 3QB,Lead,
AvielaCare Ltd,Aviela Care Ltd,Domiciliary Care,Yes,1-17583561497 https://www.cqc.org.uk/location/1-17583561497,,BR5 3QF,Lead,
"Care Ones, Recruitment and Training Ltd","Care Ones, Recruitment and Training Ltd",Domiciliary Care,Yes,1-22152383352 https://www.cqc.org.uk/location/1-22152383352,07885995861,BR5 3QB,Lead,
Cecile Healthcare UK Limited,Cecile Healthcare UK,Domiciliary Care,Yes,1-13196984603 https://www.cqc.org.uk/location/1-13196984603,07533476912,BR5 3EJ,Lead,
Creative Support Limited,Creative Support - Apsley Court,Domiciliary Care,Yes,1-4126233283 https://www.cqc.org.uk/location/1-4126233283,,BR5 4AQ,Lead,
Co-Production Care Limited,Head Office,Domiciliary Care,Yes,1-19893271010 https://www.cqc.org.uk/location/1-19893271010,07960484429,BR5 1PQ,Lead,
Optimum Homecare Services Ltd,Optimum Home Care Services Ltd,Domiciliary Care,Yes,1-9550166889 https://www.cqc.org.uk/location/1-9550166889,07737509890,BR5 3QY,Lead,
Silestia Ltd,"Radfield Home Care Bromley, Orpington & Beckenham",Domiciliary Care,Yes,1-14144735535 https://www.cqc.org.uk/location/1-14144735535,02080642324,BR5 3QB,Lead,
