Type,Organisation / Candidate,Contact,Action,Due Date,Owner,Status,Next Action
Client,SAP Care Services Limited,07958558397,"Call: Registered Manager vacancy advertised on Indeed (posted 18 Sep 2026, Tonbridge). Check CTPS first. Then send email 1 from This Week Emails.",2026-09-28,Suroj Aryal,Open,Book a 20-minute discovery call
Client,"Radfield Home Care Bromley, Orpington & Beckenham",02080642324,"Call: Care Assistant vacancy advertised on Indeed (posted 17 Sep 2026, Orpington). Check CTPS first. Then send email 2 from This Week Emails.",2026-09-28,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Lauriem White Oak Court (EC),07710096175,Call: Care Assistant vacancy in Swanley advertised on Indeed (posted 23 Sep 2026). Check CTPS first. Then send email 3 from This Week Emails.,2026-09-28,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Homesdale Supported Living,02082492902,"Call: Lead Support Worker vacancy advertised on Indeed (posted 24 Sep 2026, Chislehurst). Check CTPS first. Then send email 4 from This Week Emails.",2026-09-28,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Home Instead,01322923750,Call: Care Assistant vacancy in Dartford advertised on Indeed (posted 20 Aug 2026; check it is still open). Check CTPS first. Then send email 5 from This Week Emails.,2026-09-28,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Emerson Grange,01233224040,First call. Check CTPS first. Then send email 6 from This Week Emails.,2026-09-29,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Kentwood House,01322279771,First call. Check CTPS first. Then send email 7 from This Week Emails.,2026-09-29,Suroj Aryal,Open,Book a 20-minute discovery call
Client,West Hill Care Home,https://www.westhillcarehome.com,First call. Check CTPS first. Then send email 8 from This Week Emails.,2026-09-29,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Priory Mews Care Home,03333214715,First call. Check CTPS first. Then send email 9 from This Week Emails.,2026-09-29,Suroj Aryal,Open,Book a 20-minute discovery call
Client,St Aubyns Nursing Home,02083004285,First call. Check CTPS first. Then send email 10 from This Week Emails.,2026-09-29,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Antokol,02084678102,First call. Check CTPS first. Then send email 11 from This Week Emails.,2026-09-29,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Fairlight,02039171523,First call. Check CTPS first. Then send email 12 from This Week Emails.,2026-09-29,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Maples Care Home,02082986720,First call. Check CTPS first. Then send email 13 from This Week Emails.,2026-09-30,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Loring Hall Limited,02083029302,First call. Check CTPS first. Then send email 14 from This Week Emails.,2026-09-30,Suroj Aryal,Open,Book a 20-minute discovery call
Client,The Drive,02083090440,First call. Check CTPS first. Then send email 15 from This Week Emails.,2026-09-30,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Groveland Park Care Home,01322523090,First call. Check CTPS first. Then send email 16 from This Week Emails.,2026-09-30,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Russell Court Nursing Home,01474708151,First call. Check CTPS first. Then send email 17 from This Week Emails.,2026-09-30,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Bramblings Residential Home,01474702332,First call. Check CTPS first. Then send email 18 from This Week Emails.,2026-09-30,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Kent Carers Limited - Head Office,01322277944,First call. Check CTPS first. Then send email 19 from This Week Emails.,2026-09-30,Suroj Aryal,Open,Book a 20-minute discovery call
Client,Athlone Care,01322274747,First call. Check CTPS first. Then send email 20 from This Week Emails.,2026-09-30,Suroj Aryal,Open,Book a 20-minute discovery call
Internal,Haverton Recruitment,,"Weekly review: CRM statuses, targets, pick next 20",2026-10-02,Suroj Aryal,Open,
Internal,Haverton Recruitment,,Follow-up email to all providers who have not replied (Email 3),2026-10-05,Suroj Aryal,Open,
